-,-,-
-29, -30, 995
-36, -32, 994
-36, -32, 994
-32, -31, 994
-33, -32, 995
-33, -32, 995
-74, -81, 993
-74, -81, 993
-12, -69, 993
-58, -21, 995
-46, -61, 999
27, -19, 1001
55, 40, 1067
55, 40, 1067
-47, -15, 962
-55, -36, 1005
-38, -52, 987
-63, -26, 1042
-31, -43, 997
-31, -43, 997
-108, -42, 992
0, -151, 931
-22, -102, 993
76, -126, 1020
-5, -50, 1196
-67, -149, 1325
-67, -149, 1325
95, -217, 1276
47, 40, 1502
220, 14, 1328
16, -142, 1436
-151, -194, 1286
-129, -143, 1102
-7, -157, 1203
-57, -261, 1471
-161, -258, 1572
-117, -250, 1402
-117, -201, 1109
-184, -226, 861
-184, -226, 861
-207, -231, 686
-144, -130, 384
-118, -68, 246
-107, -139, 302
-243, -133, 292
-249, -177, 162
-192, -165, 18
-244, -69, 43
-263, -70, 124
-223, -103, 106
-194, -69, 116
-194, -69, 116
-131, -126, 274
-,-,-
-340, 115, 924
-336, 126, 896
-371, 159, 937
-346, 146, 922
-346, 137, 916
-344, 143, 915
-361, 145, 945
-382, 122, 986
-394, 103, 1044
-394, 103, 1044
-410, 115, 1112
-516, 115, 1206
-562, 55, 1251
-531, 42, 1360
-529, 97, 1453
-491, 164, 1334
-476, 171, 1119
-497, 143, 959
-480, 125, 826
-504, 120, 678
-504, 120, 678
-501, 129, 536
-551, 87, 450
-592, 106, 390
-644, 115, 322
-692, 88, 222
-717, 46, 131
-750, 22, 77
-750, 22, 77
-,-,-
-332, 129, 992
-395, 62, 1037
-427, 24, 1189
-481, 134, 1221
-447, 210, 1286
-320, 261, 1462
-320, 285, 1644
-398, 243, 1598
-494, 195, 1420
-521, 167, 1225
-521, 167, 1225
-519, 170, 1050
-513, 168, 889
-506, 166, 774
-490, 140, 683
-455, 114, 601
-414, 113, 504
-381, 71, 405
-360, 41, 321
-360, 41, 321
-313, 5, 212
-264, -18, 77
-193, -12, -45
-147, -25, -125
-129, -101, -139
-140, -213, -106
-157, -277, -70
-185, -244, 19
-185, -244, 19
-204, -185, 215
-185, -171, 499
-203, -167, 856
-182, -115, 1330
-260, -63, 1881
-331, 16, 1998
-361, 69, 1985
-349, 169, 1776
-310, 198, 1554
-305, 164, 1363
-303, 120, 1201
-336, 102, 1121
-373, 104, 1132
-,-,-
-247, 146, 984
-244, 145, 966
-269, 162, 1017
-316, 157, 1083
-361, 145, 1245
-461, 129, 1465
-492, 148, 1573
-462, 148, 1629
-442, 139, 1706
-378, 151, 1737
-309, 182, 1646
-270, 177, 1489
-197, 193, 1289
-197, 193, 1289
-160, 194, 1100
-145, 169, 939
-199, 122, 800
-256, 81, 694
-234, 58, 608
-227, 24, 559
-249, -30, 490
-249, -30, 490
-253, -77, 385
-265, -91, 292
-281, -104, 241
-283, -125, 244
-267, -143, 238
-234, -147, 216
-218, -135, 191
-239, -111, 158
-247, -107, 169
-235, -101, 195
-185, -79, 222
-158, -52, 361
-158, -52, 361
-198, -22, 576
-196, -62, 793
-185, -109, 1094
-266, -126, 1533
-316, -121, 1813
-322, -94, 1841
-297, -45, 1761
-293, -36, 1716
-296, -22, 1616
-263, 9, 1443
-246, 45, 1273
-220, 76, 1169
-,-,-
-254, 82, 1182
-434, 228, 1837
-145, 358, 1080
-287, 132, 965
-286, 103, 1038
-395, 52, 1167
-501, 9, 1334
-549, -18, 1447
-580, -87, 1545
-596, -71, 1567
-596, -71, 1567
-499, 0, 1491
-384, 68, 1360
-303, 116, 1243
-238, 192, 1102
-206, 221, 965
-174, 195, 863
-213, 145, 821
-257, 120, 728
-263, 83, 635
-263, 83, 635
-256, 59, 564
-276, 23, 528
-279, 22, 489
-285, -1, 410
-285, -1, 410
-310, -34, 344
-326, -66, 312
-323, -74, 296
-330, -123, 294
-343, -168, 284
-329, -175, 267
-329, -153, 259
-261, -92, 182
-240, -78, 199
-240, -78, 199
-283, -171, 365
-280, -246, 471
-277, -179, 480
-,-,-
-250, 202, 1235
-244, 180, 1319
-315, 122, 1292
-397, 117, 1301
-356, 100, 1337
-418, 134, 1401
-438, 91, 1422
-475, 64, 1495
-475, 64, 1495
-475, 49, 1561
-455, 35, 1590
-402, 43, 1522
-329, 79, 1396
-250, 117, 1304
-221, 149, 1225
-201, 147, 1116
-174, 159, 996
-169, 141, 904
-169, 141, 904
-197, 102, 844
-209, 64, 765
-213, 58, 684
-224, 42, 605
-259, 23, 540
-264, 13, 481
-264, 13, 481
-282, -9, 432
-298, -51, 391
-295, -62, 346
-301, -69, 295
-311, -95, 267
-324, -130, 266
-359, -170, 247
-359, -170, 247
-357, -185, 228
-310, -165, 215
-312, -189, 325
-308, -222, 447
-298, -190, 491
-275, -102, 513
-271, -19, 660
-261, 65, 898
-207, 169, 1006
-241, 229, 1085
-286, 232, 1277
-348, 181, 1480
-402, 168, 1605
-402, 168, 1605
-430, 136, 1577
-440, 115, 1523
-432, 76, 1524
-431, 28, 1500
-429, 33, 1434
-,-,-
-351, 76, 1091
-332, 112, 1143
-341, 131, 1277
-366, 95, 1339
-567, 203, 1581
-427, -138, 1857
-391, 329, 1202
-502, 44, 1197
-413, 38, 1117
-519, 13, 1319
-584, -66, 1501
-584, -66, 1501
-511, -41, 1536
-427, -3, 1453
-399, 60, 1360
-265, 131, 1250
-188, 168, 1112
-171, 179, 980
-165, 176, 854
-175, 170, 759
-220, 107, 716
-244, 48, 661
-244, 48, 661
-251, 46, 587
-265, 32, 507
-272, 20, 475
-285, -1, 446
-285, -1, 446
-314, -9, 394
-309, -15, 341
-307, -33, 307
-309, -76, 285
-319, -93, 270
